buyer_id,first_name,last_name,email,phone_number,latitude,longitude,username
1,Aditya,Nasyiah,adityanasyiah@yahoo.com,+62 (84) 466 9495,-3.5403,118.9707,aditya10
2,Kamila,Halim,kamilahalim@gmail.com,+62 (84) 466 9496,-7.73379,113.69785,kamila19
3,Fitriani,Prabowo,fitrianiprabowo@yahoo.com,(0585) 055 6265,-7.01833,107.60389,fitriani1
4,Ismail,Kusmawati,ismailkusmawati@yahoo.com,(0585) 055 6266,0.51667,101.44167,ismail23
5,Maryadi,Kusmawati,maryadikusmawati@yahoo.com,(0585) 055 6267,0.51667,101.44167,maryadi28
6,Salsabila,Rajasa,salsabilarajasa@hotmail.com,873186901,-7.01833,107.60389,salsabila12
7,Garang,Wacana,garangwacana@hotmail.com,873186901,-3.5403,118.9707,garang10
8,Alambana,Winarsih,alambanawinarsih@yahoo.com,+62 (888) 591-3055,-7.73379,113.69785,alambana30
9,Kuncara,Budiman,kuncarabudiman@hotmail.com,+62 (27) 590 5671,-6.8048,110.8405,kuncara3
10,Laila,Usamah,lailausamah@gmail.com,+62 (27) 590 5672,0.51667,101.44167,laila29
11,Mutia,Rahayu,mutiarahayu@yahoo.com,+62 (954) 556-3886,-8.43333,114.33333,mutia6
12,Galang,Mandasari,galangmandasari@hotmail.com,(018) 859-5582,-8.43333,114.33333,galang10
13,Ismail,Sihotang,ismailsihotang@gmail.com,(0052) 373 0860,-7.81667,112.01667,ismail29
14,Edi,Nasyidah,edinasyidah@yahoo.com,(0052) 373 0861,-7.54972,110.71639,edi17
15,Victoria,Zulkarnain,victoriazulkarnain@hotmail.com,(014) 503 8808,-6.8048,110.8405,victoria29
16,Jarwa,Fujiati,jarwafujiati@yahoo.com,(014) 503 8809,3.3285,99.1625,jarwa20
17,Asmianto,Permadi,asmiantopermadi@hotmail.com,(0516) 475 8166,-7.73379,113.69785,asmianto17
18,Nasab,Laksita,nasablaksita@gmail.com,087 826 3415,-1.26753,116.82887,nasab24
19,Unggul,Hidayanto,unggulhidayanto@gmail.com,+62 (025) 030-4745,-7.51611,109.05389,unggul23
20,Salman,Wasita,salmanwasita@hotmail.com,+62 (050) 413-8354,-1.26424,104.09701,salman22
21,Kasim,Sitorus,kasimsitorus@gmail.com,(0745) 524 1850,-7.01833,107.60389,kasim18
22,Paiman,Anggraini,paimananggraini@yahoo.com,+62 (06) 142 2196,-7.54972,110.71639,paiman26
23,Tasnim,Napitupulu,tasnimnapitupulu@hotmail.com,+62 (0172) 422 8620,-1.6,103.61667,tasnim23
24,Mujur,Hartati,mujurhartati@yahoo.com,(0008) 181-4717,-7.01833,107.60389,mujur19
25,Jumari,Pranowo,jumaripranowo@yahoo.com,+62 (756) 308-0819,0.51667,101.44167,jumari7
26,Dimas,Winarsih,dimaswinarsih@yahoo.com,+62 (088) 801-3128,-3.5403,118.9707,dimas20
27,Tirtayasa,Narpati,tirtayasanarpati@hotmail.com,+62 (371) 105 0499,-7.54972,110.71639,tirtayasa28
28,Marsudi,Saptono,marsudisaptono@hotmail.com,(042) 704 8999,-7.81667,112.01667,marsudi14
29,Maryanto,Tampubolon,maryantotampubolon@hotmail.com,(017) 478 0433,-7.0981,109.3243,maryanto3
30,Hendra,Rajata,hendrarajata@hotmail.com,+62 (842) 378 3526,-1.26424,104.09701,hendra24
31,Soleh,Ardianto,solehardianto@hotmail.com,+62 (842) 378 3527,-7.57897,112.23109,soleh9
32,Yono,Hariyah,yonohariyah@hotmail.com,+62 (842) 378 3528,-7.57897,112.23109,yono10
