user_id,username,first_name,last_name,email,phone_number,kota_id
1,aslijan20,Aslijan,Kuswoyo,aslijankuswoyo@hotmail.com,086 071 8018,3471
2,nyoman17,Nyoman,Oktaviani,nyomanoktaviani@yahoo.com,+62 (0991) 481-8636,6471
3,banara20,Banara,Nurdiyanti,banaranurdiyanti@gmail.com,+62 (0754) 293 7430,3471
4,teddy6,Teddy,Rajata,teddyrajata@hotmail.com,(091) 257-6138,1375
5,nasim23,Nasim,Firmansyah,nasimfirmansyah@hotmail.com,+62 (93) 466 7679,3174
6,karya21,Karya,Najmudin,karyanajmudin@gmail.com,(091) 257-6133,1371
7,maryanto17,Maryanto,Uwais,maryantouwais@hotmail.com,(018) 600 0266,3173
8,cawuk15,Cawuk,Waskita,cawukwaskita@hotmail.com,+62 (0072) 083 7689,3273
9,garda18,Garda,Hutasoit,gardahutasoit@gmail.com,+62 (0155) 083 2243,3273
10,latif11,Latif,Hakim,latifhakim@yahoo.com,+62 (0241) 510 8488,7371
11,suci18,Suci,Iswahyudi,suciiswahyudi@hotmail.com,+62 (62) 194 0115,1371
12,fathonah7,Fathonah,Permadi,fathonahpermadi@hotmail.com,(018) 603 0266,6472
13,puti25,Puti,Maryadi,putimaryadi@gmail.com,(018) 603 0263,6471
14,mujur3,Mujur,Hidayanto,mujurhidayanto@hotmail.com,(0703) 469 8585,3174
15,prayitna2,Prayitna,Haryanti,prayitnaharyanti@yahoo.com,+62 (0071) 050-0326,6471
16,mustika28,Mustika,Yulianti,mustikayulianti@yahoo.com,(065) 360-1889,3175
17,bakiman5,Bakiman,Rajasa,bakimanrajasa@gmail.com,+62 (045) 978 5988,1371
18,liman25,Liman,Laksmiwati,limanlaksmiwati@gmail.com,(0565) 863 0840,3172
19,tasdik14,Tasdik,Wahyuni,tasdikwahyuni@hotmail.com,+62 (026) 605 8943,3171
20,galuh13,Galuh,Budiman,galuhbudiman@yahoo.com,+62 (009) 638 2669,3172
21,jagaraga1,Jagaraga,Gunarto,jagaragagunarto@yahoo.com,(060) 987-6893,3173
22,muhammad9,Muhammad,Yolanda,muhammadyolanda@yahoo.com,+62 (0642) 089-8096,1375
23,karsana18,Karsana,Novitasari,karsananovitasari@yahoo.com,+62 (031) 376 9373,3173
24,zamira4,Zamira,Mardhiyah,zamiramardhiyah@hotmail.com,+62 (47) 100-6946,3171
25,raharja13,Raharja,Agustina,raharjaagustina@gmail.com,+62 (64) 230-0690,3578
26,dewi18,Dewi,Suartini,dewisuartini@hotmail.com,+62 (10) 714-4393,3174
27,zalindra16,Zalindra,Wibowo,zalindrawibowo@yahoo.com,852516680,5171
28,wage3,Wage,Hutasoit,wagehutasoit@gmail.com,+62 (07) 875 5038,6471
29,rosman22,Rosman,Salahudin,rosmansalahudin@gmail.com,085 125 2383,3573
30,joko9,Joko,Anggriawan,jokoanggriawan@yahoo.com,(0964) 072-6859,3174
31,makuta23,Makuta,Hastuti,makutahastuti@gmail.com,(026) 262 8962,3173
32,vanesa20,Vanesa,Latupono,vanesalatupono@yahoo.com,+62 (0249) 786 4028,3273
33,gatra23,Gatra,Zulkarnain,gatrazulkarnain@hotmail.com,805982873,6471
34,azalea25,Azalea,Wacana,azaleawacana@gmail.com,(0964) 072-6259,3173
35,dartono17,Dartono,Yolanda,dartonoyolanda@yahoo.com,+62 (09) 779 1502,3173
36,setya20,Setya,Nurdiyanti,setyanurdiyanti@yahoo.com,+62 (883) 771-3719,3273
37,jasmani23,Jasmani,Marbun,jasmanimarbun@yahoo.com,+62 (0735) 307-2320,3573
38,cawisadi12,Cawisadi,Mayasari,cawisadimayasari@yahoo.com,+62 (19) 259-3410,3175
39,balijan6,Balijan,Marpaung,balijanmarpaung@gmail.com,(0747) 220 8720,6472
40,bambang3,Bambang,Mansur,bambangmansur@gmail.com,(0747) 220 8710,3578
41,fitria23,Fitria,Haryanti,fitriaharyanti@gmail.com,+62 (024) 563 4707,3175
42,ivan19,Ivan,Hutagalung,ivanhutagalung@hotmail.com,+62 (0355) 805 4274,7371
43,tari30,Tari,Widiastuti,tariwidiastuti@hotmail.com,+62 (077) 958 9239,5171
44,ajeng11,Ajeng,Latupono,ajenglatupono@gmail.com,(0908) 258 9407,7371
45,pia10,Pia,Wasita,piawasita@yahoo.com,(027) 935-9872,7371
46,drajat7,Drajat,Prastuti,drajatprastuti@gmail.com,+62 (0494) 782 8635,3172
47,ulya30,Ulya,Waskita,ulyawaskita@hotmail.com,(0754) 464 0598,3172
48,pranawa27,Pranawa,Dongoran,pranawadongoran@yahoo.com,(0303) 731-2670,3175
49,elma3,Elma,Haryanto,elmaharyanto@hotmail.com,+62 (320) 745 1582,3573
50,jaswadi29,Jaswadi,Hastuti,jaswadihastuti@hotmail.com,+62 (035) 485 3296,6472
